Mole Fraction of CO,Hydrocarbon production,Coverage fraction of CO,Coverage fraction of H,Coverage fraction of C,Coverage fraction of empty sites,Average hydrocarbon production,
0.369999,0,0.8416,0.024,0.1344,0,0,
0.370999,0,0.8352,0.0306,0.1342,0,0,
0.371999,0,0.8387,0.0268,0.1345,0,0,
0.372999,0,0.8425,0.025,0.1325,0,0,
0.373999,0,0.8456,0.0226,0.1318,0,0,
0.374999,0,0.8395,0.0278,0.1327,0,0,
0.375999,0,0.8405,0.0252,0.1343,0,0,
0.376999,0,0.8381,0.0272,0.1347,0,0,
0.377999,0,0.8335,0.0278,0.1387,0,0,
0.378999,0,0.8477,0.0238,0.1285,0,0,
0.379999,0,0.8388,0.0272,0.134,0,0,
0.380999,0,0.8354,0.0274,0.1372,0,0,
0.381999,0,0.8397,0.026,0.1343,0,0,
0.382999,0,0.8367,0.0282,0.1351,0,0,
0.383999,0,0.8376,0.027,0.1354,0,0,
0.384999,0,0.841,0.0276,0.1314,0,0,
0.385999,0,0.8372,0.0272,0.1356,0,0,
0.386999,0,0.8403,0.0254,0.1343,0,0,
0.387999,0,0.842,0.0244,0.1336,0,0,
0.388999,0,0.8466,0.0234,0.13,0,0,
0.389999,0,0.8372,0.0268,0.136,0,0,
0.390999,0,0.8405,0.0282,0.1313,0,0,
0.391999,0,0.8381,0.0284,0.1335,0,0,
0.392998,0,0.8417,0.0246,0.1337,0,0,
0.393998,0,0.8426,0.0256,0.1318,0,0,
0.394998,0,0.8388,0.0262,0.135,0,0,
0.395998,0,0.8441,0.0268,0.1291,0,0,
0.396998,0,0.8392,0.0276,0.1332,0,0,
0.397998,0,0.8453,0.0262,0.1285,0,0,
0.398998,0,0.8361,0.0276,0.1363,0,0,
0.399998,0,0.8417,0.0246,0.1337,0,0,
0.400998,0,0.8426,0.0256,0.1318,0,0,
0.401998,0,0.8403,0.027,0.1327,0,0,
0.402998,0,0.8434,0.024,0.1326,0,0,
0.403998,0,0.8395,0.0268,0.1337,0,0,
0.404998,0,0.8384,0.0272,0.1344,0,0,
0.405998,0,0.8424,0.024,0.1336,0,0,
0.406998,0,0.8423,0.0256,0.1321,0,0,
0.407998,0,0.8405,0.027,0.1325,0,0,
0.408998,0,0.8438,0.0262,0.13,0,0,
0.409998,0,0.8446,0.0248,0.1306,0,0,
0.410998,0,0.8372,0.027,0.1358,0,0,
0.411998,0,0.8349,0.029,0.1361,0,0,
0.412998,0,0.841,0.0244,0.1346,0,0,
0.413998,0,0.8372,0.0276,0.1352,0,0,
0.414998,0,0.8413,0.025,0.1337,0,0,
0.415998,0,0.8399,0.0252,0.1349,0,0,
0.416998,0,0.8376,0.0284,0.134,0,0,
0.417998,0,0.836,0.0262,0.1378,0,0,
0.418998,0,0.8425,0.026,0.1315,0,0,
0.419998,0,0.8409,0.0266,0.1325,0,0,
0.420998,0,0.8413,0.0252,0.1335,0,0,
0.421998,0,0.8455,0.025,0.1295,0,0,
0.422998,0,0.8365,0.0272,0.1363,0,0,
0.423998,0,0.8409,0.0248,0.1343,0,0,
0.424998,0,0.8422,0.0254,0.1324,0,0,
0.425998,0,0.8381,0.0276,0.1343,0,0,
0.426998,0,0.8424,0.0284,0.1292,0,0,
0.427998,0,0.8406,0.026,0.1334,0,0,
0.428998,0,0.8368,0.0292,0.134,0,0,
0.429998,0,0.8387,0.0258,0.1355,0,0,
0.430998,0,0.8374,0.026,0.1366,0,0,
0.431998,0,0.8409,0.027,0.1321,0,0,
0.432998,0,0.8384,0.027,0.1346,0,0,
0.433998,0,0.84,0.0272,0.1328,0,0,
0.434998,0,0.8427,0.025,0.1323,0,0,
0.435998,0,0.8345,0.028,0.1375,0,0,
0.436998,0,0.8485,0.0262,0.1253,0,0,
0.437998,0,0.8417,0.0254,0.1329,0,0,
0.438998,0,0.8381,0.026,0.1359,0,0,
0.439998,0,0.836,0.0268,0.1372,0,0,
0.440998,0,0.844,0.0244,0.1316,0,0,
0.441998,0,0.8386,0.0258,0.1356,0,0,
0.442998,0,0.8411,0.0244,0.1345,0,0,
